Input Size	Execution Time
1000	0.1250000000
1000	0.1239999980
1000	0.1220000014
1000	0.1220000014
1000	0.1239999980
1000	0.1940000057
1000	0.1410000026
1000	0.1420000046
1000	0.1330000013
1000	0.1400000006
1000	0.1410000026
1000	0.1230000034
1000	0.1220000014
1000	0.1230000034
1000	0.1420000046
1000	0.1360000074
1000	0.1400000006
1000	0.1220000014
1000	0.1220000014
1000	0.1209999993
1000	0.1209999993
1000	0.1550000012
1000	0.1220000014
1000	0.1410000026
1000	0.1230000034
1000	0.1389999986
1000	0.1969999969
1000	0.1220000014
1000	0.1599999964
1000	0.1230000034
1000	0.1220000014
1000	0.2329999954
1000	0.1340000033
1000	0.1679999977
1000	0.1220000014
1000	0.1420000046
1000	0.1220000014
1000	0.1220000014
1000	0.1230000034
1000	0.1400000006
1000	0.1260000020
1000	0.1230000034
1000	0.1220000014
1000	0.1490000039
1000	0.1239999980
1000	0.1220000014
1000	0.1599999964
1000	0.1230000034
1000	0.1239999980
1000	0.1209999993
1000	0.1230000034
1000	0.1230000034
1000	0.1360000074
1000	0.1560000032
1000	0.1220000014
1000	0.1379999965
1000	0.1570000052
1000	0.1410000026
1000	0.1230000034
1000	0.1270000041
1000	0.1389999986
1000	0.1379999965
1000	0.1239999980
1000	0.1230000034
1000	0.1209999993
1000	0.1469999999
1000	0.1220000014
1000	0.1230000034
1000	0.1829999983
1000	0.1239999980
1000	0.1239999980
1000	0.1220000014
1000	0.1469999999
1000	0.1220000014
1000	0.1239999980
1000	0.1220000014
1000	0.1220000014
1000	0.1400000006
1000	0.1580000073
1000	0.1239999980
1000	0.1250000000
1000	0.1230000034
1000	0.1220000014
1000	0.1640000045
1000	0.1420000046
1000	0.1230000034
1000	0.1379999965
1000	0.1250000000
1000	0.1230000034
1000	0.1420000046
1000	0.1239999980
1000	0.1239999980
1000	0.1230000034
1000	0.1239999980
1000	0.1280000061
1000	0.1439999938
1000	0.1209999993
1000	0.1220000014
10000	1.5340000391
10000	1.5729999542
10000	1.5299999714
10000	1.5850000381
10000	1.5880000591
10000	1.5880000591
10000	1.5349999666
10000	1.5169999599
10000	1.6770000458
10000	1.7029999495
10000	1.5240000486
10000	1.6349999905
10000	1.5770000219
10000	1.5369999409
10000	1.5800000429
10000	1.6009999514
10000	1.5470000505
10000	1.6670000553
10000	1.5230000019
10000	1.5349999666
10000	1.5269999504
10000	1.8609999418
10000	1.5340000391
10000	1.8669999838
10000	1.6069999933
10000	1.5549999475
10000	1.6000000238
10000	1.5329999924
10000	1.6039999723
10000	1.5060000420
